,Security,Symbol,SEC filings,GICS Sector,GICS Sub Industry,Headquarters Location,Date first added[3][4],CIK,Founded
480,Vulcan Materials,VMC,reports,Materials,Construction Materials,"Birmingham, Alabama",1999-06-30,0001396009,
481,Walmart,WMT,reports,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas",1982-08-31,0000104169,
482,Walgreens Boots Alliance,WBA,reports,Consumer Staples,Drug Retail,"Deerfield, Illinois",1979-12-31,0001618921,
483,The Walt Disney Company,DIS,reports,Communication Services,Movies & Entertainment,"Burbank, California",1976-06-30,0001001039,
484,Waste Management Inc.,WM,reports,Industrials,Environmental & Facilities Services,"Houston, Texas",,0000823768,1968
485,Waters Corporation,WAT,reports,Health Care,Health Care Distributors,"Milford, Massachusetts",,0001000697,1958
486,Wec Energy Group Inc,WEC,reports,Utilities,Electric Utilities,"Milwaukee, Wisconsin",2008-10-31,0000783325,
487,WellCare,WCG,reports,Health Care,Managed Health Care,"Tampa, Florida",1985,0001279363,
488,Wells Fargo,WFC,reports,Financials,Diversified Banks,"San Francisco, California",1976-06-30,0000072971,
489,Welltower Inc.,WELL,reports,Real Estate,Health Care REITs,"Toledo, Ohio",2009-01-30,0000766704,
490,Western Digital,WDC,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Irvine, California",2009-07-01,0000106040,
491,Western Union Co,WU,reports,Information Technology,Internet Software & Services,"Englewood, Colorado",,0001365135,1851
492,WestRock,WRK,reports,Materials,Paper Packaging,"Richmond, Virginia",,0001636023,
493,Weyerhaeuser,WY,reports,Materials,Lumber & Wood Production,"Seattle, Washington",,0000106535,
494,Whirlpool Corp.,WHR,reports,Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan",,0000106640,1911
495,Williams Cos.,WMB,reports,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",1975-03-31,0000107263,
496,Willis Towers Watson,WLTW,reports,Financials,Insurance Brokers,"London, United Kingdom",2016-01-05,0001140536,
497,Wynn Resorts Ltd,WYNN,reports,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",2008-11-14,0001174922,
498,Xcel Energy Inc,XEL,reports,Utilities,Multi-Utilities,"Minneapolis, Minnesota",,0000072903,1909
499,Xerox,XRX,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Norwalk, Connecticut",,0000108772,1906
500,Xilinx,XLNX,reports,Information Technology,Semiconductors,"San Jose, California",1999-11-08,0000743988,
501,Xylem Inc.,XYL,reports,Industrials,Industrial Machinery,"White Plains, New York",2011-11-01,0001524472,
502,Yum! Brands Inc,YUM,reports,Consumer Discretionary,Restaurants,"Louisville, Kentucky",1997-10-06,0001041061,
503,Zimmer Biomet Holdings,ZBH,reports,Health Care,Health Care Equipment,"Warsaw, Indiana",2001-08-07,0001136869,
504,Zions Bancorp,ZION,reports,Financials,Regional Banks,"Salt Lake City, Utah",2001-06-22,0000109380,
505,Zoetis,ZTS,reports,Health Care,Pharmaceuticals,"Florham Park, New Jersey",2013-06-21,0001555280,
